"","Sample","MTaxa","Proportion","Day","Condition","Experiment"
"1","26_1A_S1","Escherichia-Shigella",0,"Baseline","Plus",1
"2","26_1A_S1","Bacteroides",9.96926366430576,"Baseline","Plus",1
"3","26_1A_S1","HT002",1.48336228785247,"Baseline","Plus",1
"4","26_1A_S1","[Clostridium] innocuum group",0,"Baseline","Plus",1
"5","26_1A_S1","Ligilactobacillus",11.6664439395964,"Baseline","Plus",1
"6","26_1A_S1","Dubosiella",0.614726713884806,"Baseline","Plus",1
"7","26_1A_S1","Blautia",0,"Baseline","Plus",1
"8","26_1A_S1","Faecalibaculum",0.721635707603902,"Baseline","Plus",1
"9","26_1A_S1","Lactobacillus",10.410263263397,"Baseline","Plus",1
"10","26_1A_S1","Enterococcus",0,"Baseline","Plus",1
"11","26_1A_S1","Turicibacter",6.22744888413738,"Baseline","Plus",1
"12","26_1A_S1","Clostridium sensu stricto 1",2.485634103969,"Baseline","Plus",1
"13","26_1A_S1","Paraclostridium",0,"Baseline","Plus",1
"14","26_1A_S1","Ileibacterium",0,"Baseline","Plus",1
"15","26_1A_S1","Klebsiella",0,"Baseline","Plus",1
"16","26_1A_S1","Lachnospiraceae UCG-001",1.30963517305893,"Baseline","Plus",1
"17","26_1A_S1","Lachnospiraceae NK4A136 group",2.47227047975411,"Baseline","Plus",1
"18","26_1A_S1","Streptococcus",0,"Baseline","Plus",1
"19","26_1A_S1","Romboutsia",2.09808900173727,"Baseline","Plus",1
"20","26_1A_S1","Erysipelatoclostridium",0.0534544968595483,"Baseline","Plus",1
"21","26_1A_S1","Bifidobacterium",0.280636108512629,"Baseline","Plus",1
"22","26_1A_S1","Lachnoclostridium",0.240545235867967,"Baseline","Plus",1
"23","26_1A_S1","Anaerostipes",0,"Baseline","Plus",1
"24","26_1A_S1","Lachnospiraceae UCG-006",1.1359080582654,"Baseline","Plus",1
"25","26_1A_S1","Salmonella",0,"Baseline","Plus",1
"26","26_1A_S1","Parabacteroides",2.11145262595216,"Baseline","Plus",1
"27","26_1A_S1","Cutibacterium",0,"Baseline","Plus",1
"28","26_1A_S1","Unclassified",30.3755178404383,"Baseline","Plus",1
"29","26_1A_S1","Other",16.3437124148069,"Baseline","Plus",1
"30","26_1H_S8","Escherichia-Shigella",2.13358070500928,"Day4","Plus",1
"31","26_1H_S8","Bacteroides",28.2815398886827,"Day4","Plus",1
"32","26_1H_S8","HT002",0,"Day4","Plus",1
"33","26_1H_S8","[Clostridium] innocuum group",0.73051948051948,"Day4","Plus",1
"34","26_1H_S8","Ligilactobacillus",7.4095547309833,"Day4","Plus",1
"35","26_1H_S8","Dubosiella",0,"Day4","Plus",1
"36","26_1H_S8","Blautia",3.40909090909091,"Day4","Plus",1
"37","26_1H_S8","Faecalibaculum",0,"Day4","Plus",1
"38","26_1H_S8","Lactobacillus",0,"Day4","Plus",1
"39","26_1H_S8","Enterococcus",0.788497217068646,"Day4","Plus",1
"40","26_1H_S8","Turicibacter",3.35111317254174,"Day4","Plus",1
"41","26_1H_S8","Clostridium sensu stricto 1",0.0695732838589981,"Day4","Plus",1
"42","26_1H_S8","Paraclostridium",0,"Day4","Plus",1
"43","26_1H_S8","Ileibacterium",34.7402597402597,"Day4","Plus",1
"44","26_1H_S8","Klebsiella",0,"Day4","Plus",1
"45","26_1H_S8","Lachnospiraceae UCG-001",0,"Day4","Plus",1
"46","26_1H_S8","Lachnospiraceae NK4A136 group",0,"Day4","Plus",1
"47","26_1H_S8","Streptococcus",0,"Day4","Plus",1
"48","26_1H_S8","Romboutsia",0,"Day4","Plus",1
"49","26_1H_S8","Erysipelatoclostridium",0,"Day4","Plus",1
"50","26_1H_S8","Bifidobacterium",2.40027829313544,"Day4","Plus",1
"51","26_1H_S8","Lachnoclostridium",0,"Day4","Plus",1
"52","26_1H_S8","Anaerostipes",0,"Day4","Plus",1
"53","26_1H_S8","Lachnospiraceae UCG-006",0,"Day4","Plus",1
"54","26_1H_S8","Salmonella",0,"Day4","Plus",1
"55","26_1H_S8","Parabacteroides",0,"Day4","Plus",1
"56","26_1H_S8","Cutibacterium",0,"Day4","Plus",1
"57","26_1H_S8","Unclassified",13.8798701298701,"Day4","Plus",1
"58","26_1H_S8","Other",2.80612244897958,"Day4","Plus",1
"59","26_1L_S15","Escherichia-Shigella",0.293387497178966,"Day12","Plus",1
"60","26_1L_S15","Bacteroides",33.0963665086888,"Day12","Plus",1
"61","26_1L_S15","HT002",0,"Day12","Plus",1
"62","26_1L_S15","[Clostridium] innocuum group",0.530354321823516,"Day12","Plus",1
"63","26_1L_S15","Ligilactobacillus",2.4373730534868,"Day12","Plus",1
"64","26_1L_S15","Dubosiella",0,"Day12","Plus",1
"65","26_1L_S15","Blautia",2.15526969081471,"Day12","Plus",1
"66","26_1L_S15","Faecalibaculum",0,"Day12","Plus",1
"67","26_1L_S15","Lactobacillus",0,"Day12","Plus",1
"68","26_1L_S15","Enterococcus",0.214398555630783,"Day12","Plus",1
"69","26_1L_S15","Turicibacter",0.665763935906116,"Day12","Plus",1
"70","26_1L_S15","Clostridium sensu stricto 1",0,"Day12","Plus",1
"71","26_1L_S15","Paraclostridium",0,"Day12","Plus",1
"72","26_1L_S15","Ileibacterium",26.6531257052584,"Day12","Plus",1
"73","26_1L_S15","Klebsiella",0,"Day12","Plus",1
"74","26_1L_S15","Lachnospiraceae UCG-001",0,"Day12","Plus",1
"75","26_1L_S15","Lachnospiraceae NK4A136 group",2.96772737531031,"Day12","Plus",1
"76","26_1L_S15","Streptococcus",0,"Day12","Plus",1
"77","26_1L_S15","Romboutsia",0,"Day12","Plus",1
"78","26_1L_S15","Erysipelatoclostridium",0,"Day12","Plus",1
"79","26_1L_S15","Bifidobacterium",0.643195666892349,"Day12","Plus",1
"80","26_1L_S15","Lachnoclostridium",1.18483412322275,"Day12","Plus",1
"81","26_1L_S15","Anaerostipes",0,"Day12","Plus",1
