BIOCHEMICAL,SUPERPATH,SUBPATH,KEGG,RH127O_1,RH127O_2,RH127O_3,RH127O_4,RH127O_5,PLT_32B_1,PLT_32B_2,PLT_32B_3,PLT_32B_4,PLT_32B_5,VPI_1,VPI_2,VPI_3,VPI_4,SMC7758_1,SMC7758_2,SMC7758_3,SMC7758_4,SMC7758_5,MEM_1,MEM_2,MEM_3,MEM_4,MEM_5
1-carboxyethylisoleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",,0.5256,0.5256,0.5256,0.5256,0.5256,0.5256,0.5256,0.5256,0.5256,0.5256,0.5256,0.5256,0.5256,0.5256,1,0.695,0.7642,1.1651,1.1481,0.5256,0.5256,0.5256,0.5256,0.5256
1-carboxyethylleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",,0.3539,0.3539,0.3539,0.3539,0.3539,0.3539,0.3539,0.3539,0.3539,0.3539,0.3539,0.3539,0.3539,0.3539,0.9651,0.7923,1.2159,1.0392,1,0.3539,0.3539,0.3539,0.3539,0.3539
1-carboxyethylphenylalanine,Amino Acid,Phenylalanine Metabolism,,0.4804,0.4804,0.4804,0.4804,0.4804,0.4804,0.4804,0.4804,0.4804,0.4804,0.4804,0.4804,0.5289,0.5925,1.2621,0.9025,1.1451,1,1.1294,0.4804,0.4804,0.4804,0.4804,0.4804
1-carboxyethylvaline,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",,0.4331,0.4331,0.4331,0.4331,0.4331,0.4331,1,0.4331,0.4331,0.8913,0.7702,1.0053,1.7152,1.0502,2.5918,1.4786,2.1359,3.1948,1.8284,0.4331,0.5702,0.4331,0.4331,0.4331
1-methyl-5-imidazoleacetate,Amino Acid,Histidine Metabolism,,0.5259,0.4854,0.3233,0.4951,0.5873,0.6714,0.5336,0.7366,1.0717,1.0973,0.248,0.6691,0.1405,0.4929,0.1405,0.1405,0.1405,0.1405,0.1405,0.1405,0.1405,0.1405,0.1405,0.1405
2'-deoxyadenosine,Nucleotide,"Purine Metabolism, Adenine containing",C00559,1.2954,5.0509,1.2652,1.1313,0.9886,1.168,1.9451,1.7244,1.6254,1.1154,2.3654,2.5345,4.8616,2.6636,6.2591,2.9996,7.338,7.075,5.9734,0.1236,0.1236,0.1236,0.1236,0.1236
"2,3-dihydroxy-2-methylbutyrate",Amino Acid,"Leucine, Isoleucine and Valine Metabolism",,1.1416,0.098,0.098,1.8849,1.5977,1.5057,1,1.5707,1.275,2.5182,1.1121,1.1925,0.6824,1.4805,1.2007,1.2757,0.8584,0.9169,1.0476,0.098,0.098,0.098,0.098,0.098
"2,3-dihydroxyisovalerate",Xenobiotics,Food Component/Plant,C04039,0.9327,0.3564,0.5887,1.094,1.1562,0.8903,1.1938,1.2636,0.9832,1.3215,1.3044,2.5395,2.056,2.0379,1.1093,2.9275,1.2943,1.2786,1.3134,0.175,0.175,0.175,0.175,0.175
2-hydroxy-3-methylvalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",,0.3805,0.4117,0.2863,0.4163,0.3048,0.2172,0.244,0.8796,0.6641,0.8873,2.4013,2.2917,2.4225,3.3161,1.2427,0.4908,1.5551,2.0127,1.0297,0.1491,0.1491,0.1491,0.1491,0.1491
2-hydroxy-4-(methylthio)butanoic acid,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",,0.934,0.6408,0.4995,0.6185,0.5576,0.5541,0.6608,2.3026,2.4159,2.1091,1.1215,1.7624,1.4042,1.7114,1.2435,0.7548,1.7169,1.7961,1.3841,0.0697,0.0697,0.0697,0.0697,0.0697
2-hydroxybutyrate/2-hydroxyisobutyrate,Amino Acid,Glutathione Metabolism,"C21297,C05984",1.0694,1.0653,1.1699,3.2189,1.1973,5.5443,12.1806,2.1675,1.2999,1.2081,0.2339,1.005,0.8936,0.7107,1.4139,1.287,2.0455,1.6896,1.9386,0.2339,0.2339,0.5245,0.2339,0.2339
2-hydroxyglutarate,Lipid,"Fatty Acid, Dicarboxylate",C02630,2.4641,1.574,1.3662,4.3248,1.6758,1.5961,1.7101,3.7537,2.8966,4.2908,3.9818,4.6024,2.93,6.6404,1.73,0.8132,2.0647,2.0959,1.4358,0.0751,0.0751,0.0751,0.0751,0.0751
2-isopropylmalate,Xenobiotics,Food Component/Plant,C02504,0.2499,0.2499,0.2499,0.2499,0.6301,0.2499,1.1612,1.3959,0.702,1.383,0.5788,0.2499,0.2499,0.5505,1.0607,0.2499,1.4068,0.8499,0.8121,0.2499,0.2499,0.2499,0.2499,0.2499
2-keto-3-deoxy-gluconate,Xenobiotics,Food Component/Plant,C00204,0.2188,0.4852,0.2188,0.5402,0.5601,0.5318,0.2188,0.6945,1,0.6962,0.7831,1.5159,3.7884,1.947,5.8692,2.1795,7.8889,6.5714,6.2521,0.2188,0.2188,0.2188,0.2188,0.2188
2-methylcitrate/homocitrate,Energy,TCA Cycle,C01251,0.2406,0.2406,0.2406,0.2714,0.2406,0.2882,0.4067,0.2406,0.2406,0.3392,1.8081,3.2994,2.1652,3.6048,2.5003,0.7778,3.5115,2.4879,2.6662,0.2406,0.2406,0.2406,0.2406,0.2406
2-oxoarginine*,Amino Acid,Urea cycle; Arginine and Proline Metabolism,C03771,0.6785,0.5349,0.463,0.774,0.4541,0.6086,0.7943,1.507,0.8767,1.155,0.8427,1.3446,0.9369,1.2742,1.5303,1.3837,1.4909,1.6358,1.6245,0.3186,0.2668,0.3286,0.2627,0.304
2-piperidinone,Xenobiotics,Food Component/Plant,,0.8,1.1276,1.0716,0.6439,0.8919,1.1135,0.7175,1.2361,0.9656,0.8631,0.7789,1.4909,1.1326,1.184,1.4604,1,1.9019,2.0327,2.1833,0.6425,0.7204,0.5614,1.3669,1.178
2-pyrrolidinone,Amino Acid,Glutamate Metabolism,,0.4895,0.3914,0.5622,1.5381,1.3194,0.4031,0.3914,1.1973,0.8545,0.6489,1.655,1.3493,0.4236,1.2332,1.061,1.0279,1.0083,0.9741,1.4052,0.9945,0.728,0.7411,1.6786,0.9987
"2R,3R-dihydroxybutyrate",Lipid,"Fatty Acid, Dihydroxy",,1.2575,0.4499,0.7573,1.2876,0.9993,0.904,1.4995,1.8246,1.7911,3.4696,1.9565,2.1763,1.5368,2.0245,1.7077,0.7516,1.574,1.9637,0.9726,0.4499,0.4499,0.4499,0.4499,0.4499
"2S,3R-dihydroxybutyrate",Lipid,"Fatty Acid, Dihydroxy",,0.5304,0.6648,0.5304,0.5304,0.5304,0.5304,1.8875,0.5304,0.5304,0.5304,1.2821,0.7059,1.1207,0.8765,0.5304,1.813,0.8793,0.5304,0.5304,0.5304,0.5304,0.5304,0.5304,0.5304
"3,4-dihydroxybutyrate",Lipid,"Fatty Acid, Dihydroxy",,0.416,0.416,0.416,0.5475,0.416,0.416,0.416,0.6574,0.416,1,1.2471,2.0801,0.8537,1.7399,2.7162,0.6975,2.9829,3.0625,2.2232,0.416,0.416,0.416,0.416,0.416
3-(4-hydroxyphenyl)lactate (HPLA),Amino Acid,Tyrosine Metabolism,C03672,0.1914,0.316,0.231,0.2148,0.1655,0.1847,0.1539,0.1861,0.2714,0.2179,4.8938,4.9096,4.7634,9.519,2.4006,1.3707,3.1999,3.7114,2.1141,0.228,0.2904,0.1539,0.1539,0.1539
3-amino-2-piperidone,Amino Acid,Urea cycle; Arginine and Proline Metabolism,,1.3252,0.9092,3.0171,1.3676,2.045,1.0908,4.074,1.799,1.6286,2.0136,1.6955,2.5056,2.1305,2.8662,1.5397,2.7188,1.3633,1.8637,2.1229,0.1739,0.1739,0.1739,0.4473,0.1739
3-formylindole,Xenobiotics,Food Component/Plant,C08493,1.4072,1.1194,1.1802,2.5031,1.4319,1.6371,1.9775,2.7052,1.5785,2.6581,1.8348,1.4447,1.8709,1.9962,3.1978,1.2915,3.4447,3.4889,3.3836,0.8155,0.8819,0.6469,1.2103,0.8843
3-hydroxy-2-methylpyridine,Xenobiotics,Chemical,,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.0406,0.0096,1.3944,2.0983,1.4653,2.5888,1.4613,0.403,1.6319,1.9409,1.3183,0.0096,0.0096,0.0096,0.0096,0.0096
3-hydroxy-3-methylglutarate,Lipid,Mevalonate Metabolism,C03761,0.514,0.514,0.514,0.514,1.1438,0.514,1.2946,0.6142,0.8593,0.514,0.7739,1.0185,0.8526,1.005,0.8297,1.4029,1.0313,0.514,1.062,0.514,0.514,0.514,0.514,0.514
3-hydroxybutyroylglycine,Lipid,Fatty Acid Metabolism (Acyl Glycine),,1.3067,1.2839,0.9519,3.4219,1.4843,1.942,2.1041,2.9665,2.0783,3.7056,1.0417,0.6858,0.5612,0.8323,1.9964,1.3051,1.4733,2.3785,1.57,2.8663,2.5146,2.5278,2.7449,2.0863
3-indoleglyoxylic acid,Xenobiotics,Food Component/Plant,,0.9429,0.8018,0.6143,2.7082,0.9412,1.9402,1.6411,2.4816,1,2.7414,1.2259,2.2969,1.385,1.7039,3.2724,1.2071,1.7586,2.2068,1.8448,1.1289,1.1002,1.0133,1.2735,1.1518
3-methyl-2-oxobutyrate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",C00141,0.2719,0.3559,0.2045,0.2806,0.3042,0.4747,0.8096,0.9903,0.8056,0.7171,0.9757,0.4878,0.9508,1.1476,1.1027,0.9012,1.2536,1.1679,0.9446,0.2045,0.2045,0.2045,0.2045,0.2045
3-methyl-2-oxovalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism","C00671,C06008,C03465",0.5547,0.4261,0.3806,0.4737,0.4399,0.629,1.1097,0.8141,0.871,0.7684,1.1314,0.5184,1.6806,2.176,1.2952,1.2559,2.0593,2.052,1.4761,0.0565,0.0565,0.0565,0.0565,0.0565
3-sulfo-L-alanine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",C00506,0.2038,0.1976,0.1764,0.3392,0.3008,0.1222,0.1261,0.3644,0.2481,0.3317,0.187,0.411,0.1596,0.2606,0.352,0.3102,0.2236,0.2366,0.2491,0.4329,0.3507,0.4272,0.4464,0.465
4-guanidinobutanoate,Amino Acid,Guanidino and Acetamido Metabolism,C01035,1.16,1.1219,0.959,1.5848,1.2745,1.2444,1.0658,2.5309,1.9512,2.3529,1.5765,2.8699,2.4108,2.4013,4.8278,2.4946,4.4555,4.5455,4.4559,1.1053,0.8821,1,0.9936,1.054
4-hydroxybenzoate,Xenobiotics,Benzoate Metabolism,C00156,0.248,0.248,0.2718,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.8625,1.1732,1.0049,1.029,0.7422,0.9951,0.9534,1.9293,0.6966,0.248,0.248,0.248,0.248,0.248
4-hydroxycinnamate,Xenobiotics,Food Component/Plant,C00811,4.2136,3.5539,2.4871,7.1679,3.1407,3.2895,4.2061,7.4146,6.3979,6.3589,0.0569,0.0569,0.0569,0.0569,0.0569,0.0569,0.0569,0.0569,0.0569,0.0569,0.0569,0.0569,0.0569,0.0569
4-hydroxyphenylacetate,Amino Acid,Phenylalanine Metabolism,C00642,0.3168,0.3168,0.3168,0.3168,0.3168,0.3168,0.3168,0.3168,0.3168,0.3168,0.8343,0.8581,0.8983,1.5349,4.9122,3.2329,6.3008,6.9189,6.8292,0.3168,0.3168,0.3168,0.3168,0.3168
4-hydroxyphenylpyruvate,Amino Acid,Tyrosine Metabolism,C01179,0.6795,0.5116,0.4866,0.7782,0.6284,0.5921,0.8936,1.4449,1.439,1.4774,3.1723,3.0439,5.7707,8.3651,6.4563,3.6154,8.0828,8.5493,6.9423,0.2437,0.198,0.1893,0.2116,0.1937
4-imidazoleacetate,Amino Acid,Histidine Metabolism,C02835,0.9669,0.9237,1,2.4501,0.891,1.6529,1.6056,2.575,1.328,2.5911,1.105,2.0404,1.7886,1.79,5.4538,2.4392,4.3786,4.604,4.4322,1.6187,1.5325,1.612,1.7089,1.6047
4-methyl-2-oxopentanoate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",C00233,0.7746,0.6065,0.5183,0.5841,0.6759,0.9548,1.7218,1.1017,1.148,1.1854,1.491,0.8816,2.1937,2.8642,4.254,3.2135,5.4274,5.3783,4.9307,0.1359,0.1008,0.1008,0.1232,0.1424
"5,6-dihydrouridine",Nucleotide,"Pyrimidine Metabolism, Uracil containing",,1.3973,1.5243,0.7893,1.0616,1,0.9159,1.2662,2.0517,1.325,1.1761,1.3146,1.5886,1.2099,2.4797,1.5186,1.1205,1.2609,1.0227,1.3803,0.0728,0.0728,0.0728,0.0728,0.0728
5-hydroxylysine,Amino Acid,Lysine Metabolism,C16741,3.7158,3.4039,2.5343,4.9207,8.6409,4.2512,0.878,7.7568,9.2745,8.3566,4.3006,6.7071,5.2702,6.3446,2.9015,0.5051,2.6142,2.7528,4.2992,0.4217,0.4524,0.3486,0.6845,0.4797
5-methylthioadenosine (MTA),Amino Acid,Polyamine Metabolism,C00170,0.7797,1.1763,0.774,0.2764,0.6059,0.2398,0.3457,0.9445,0.7636,0.7056,1.5478,4.2964,1.7728,1.9718,2.5548,3.1079,3.0478,3.5672,2.8105,0.1204,0.1204,0.1204,0.1204,0.1204
5-oxoproline,Amino Acid,Glutathione Metabolism,"C01879,C02237",1.5081,1.2113,1.1741,2.9048,1.4386,2.2134,2.2297,2.685,1.5468,2.7634,1.2948,1.0308,1.2858,1.6934,3.0866,2.3564,1.9655,2.1314,2.0999,2.1139,1.993,2.0209,2.0551,1.9912
6-oxopiperidine-2-carboxylate,Amino Acid,Lysine Metabolism,,1.1271,1.1526,0.9287,0.1247,1.0962,0.2484,0.3254,0.8234,1.1242,1.3193,0.3134,1.0684,1.1218,0.6674,0.1247,0.1247,0.1798,0.274,0.1247,0.1247,0.1247,0.1247,0.1247,0.1247
7-methylguanine,Nucleotide,"Purine Metabolism, Guanine containing",C02242,1.1837,1.3898,0.9227,1.1569,0.9518,0.8217,0.9022,2.2391,1.7976,1.3458,1.0018,1.3546,1.0338,1.4478,0.7325,0.1644,0.8567,0.9982,0.4354,0.1644,0.1644,0.1644,0.1644,0.1644
adenine,Nucleotide,"Purine Metabolism, Adenine containing",C00147,4.4273,24.0906,7.0412,4.3566,5.3458,5.6447,5.2022,17.9117,11.0214,8.2405,11.7272,15.8157,13.2086,15.8548,24.8554,11.9956,26.9975,28.6559,20.5578,0.0482,0.0468,0.0961,0.0348,0.1619
