Strain,Species,Source,Group,MEM
RH127O_1,B.fragilis,CF,RH127O,Lgln_supe
RH127O_2,B.fragilis,CF,RH127O,Lgln_supe
RH127O_3,B.fragilis,CF,RH127O,Lgln_supe
RH127O_4,B.fragilis,CF,RH127O,Lgln_supe
RH127O_5,B.fragilis,CF,RH127O,Lgln_supe
PLT_32B_1,B.vulgatus,NonCF,PLT_32B,Lgln_supe
PLT_32B_2,B.vulgatus,NonCF,PLT_32B,Lgln_supe
PLT_32B_3,B.vulgatus,NonCF,PLT_32B,Lgln_supe
PLT_32B_4,B.vulgatus,NonCF,PLT_32B,Lgln_supe
PLT_32B_5,B.vulgatus,NonCF,PLT_32B,Lgln_supe
VPI_1,B.thetaiotaomicron,Lab,VPI,Lgln_supe
VPI_2,B.thetaiotaomicron,Lab,VPI,Lgln_supe
VPI_3,B.thetaiotaomicron,Lab,VPI,Lgln_supe
VPI_4,B.thetaiotaomicron,Lab,VPI,Lgln_supe
VPI_5_ng,B.thetaiotaomicron,Lab,VPI_ng,Lgln_supe
SMC7758_1,B.thetaiotaomicron,Lab,SMC7758,Lgln_supe
SMC7758_2,B.thetaiotaomicron,Lab,SMC7758,Lgln_supe
SMC7758_3,B.thetaiotaomicron,Lab,SMC7758,Lgln_supe
SMC7758_4,B.thetaiotaomicron,Lab,SMC7758,Lgln_supe
SMC7758_5,B.thetaiotaomicron,Lab,SMC7758,Lgln_supe
MEM_1,None,Control,MEM,Lgln
MEM_2,None,Control,MEM,Lgln
MEM_3,None,Control,MEM,Lgln
MEM_4,None,Control,MEM,Lgln
MEM_5,None,Control,MEM,Lgln
S_PLT_21B_1,B.vulgatus,NonCF,PLT_21B,Suppl_supe
S_PLT_21B_2,B.vulgatus,NonCF,PLT_21B,Suppl_supe
S_PLT_21B_3,B.vulgatus,NonCF,PLT_21B,Suppl_supe
S_PLT_21B_4,B.vulgatus,NonCF,PLT_21B,Suppl_supe
S_PLT_21B_5,B.vulgatus,NonCF,PLT_21B,Suppl_supe
S_PLT_32B_1,B.vulgatus,NonCF,PLT_32B,Suppl_supe
S_PLT_32B_2,B.vulgatus,NonCF,PLT_32B,Suppl_supe
S_PLT_32B_3,B.vulgatus,NonCF,PLT_32B,Suppl_supe
S_PLT_32B_4,B.vulgatus,NonCF,PLT_32B,Suppl_supe
S_PLT_32B_5,B.vulgatus,NonCF,PLT_32B,Suppl_supe
S_PLT_41B_1,B.fragilis,NonCF,PLT_41B,Suppl_supe
S_PLT_41B_2,B.fragilis,NonCF,PLT_41B,Suppl_supe
S_PLT_41B_3,B.fragilis,NonCF,PLT_41B,Suppl_supe
S_PLT_41B_4,B.fragilis,NonCF,PLT_41B,Suppl_supe
S_PLT_41B_5,B.fragilis,NonCF,PLT_41B,Suppl_supe
S_AD126T3B_1,B.fragilis,CF,AD126T3B,Suppl_supe
S_AD126T3B_2,B.fragilis,CF,AD126T3B,Suppl_supe
S_AD126T3B_3,B.fragilis,CF,AD126T3B,Suppl_supe
S_AD126T3B_4,B.fragilis,CF,AD126T3B,Suppl_supe
S_AD126T3B_5,B.fragilis,CF,AD126T3B,Suppl_supe
S_HAP2B_1,B.fragilis,CF,HAP2B,Suppl_supe
S_HAP2B_2,B.fragilis,CF,HAP2B,Suppl_supe
S_HAP2B_3,B.fragilis,CF,HAP2B,Suppl_supe
S_HAP2B_4,B.fragilis,CF,HAP2B,Suppl_supe
S_HAP2B_5,B.fragilis,CF,HAP2B,Suppl_supe
S_MEM_1,None,Control,MEM,Suppl
S_MEM_2,None,Control,MEM,Suppl
S_MEM_3,None,Control,MEM,Suppl
S_MEM_4,None,Control,MEM,Suppl
S_MEM_5,None,Control,MEM,Suppl
S_RH127O_1,B.fragilis,CF,RH127O,Suppl_supe
S_RH127O_2,B.fragilis,CF,RH127O,Suppl_supe
S_RH127O_3,B.fragilis,CF,RH127O,Suppl_supe
S_RH127O_4,B.fragilis,CF,RH127O,Suppl_supe
S_RH127O_5,B.fragilis,CF,RH127O,Suppl_supe
S_SMC7758_1,B.thetaiotaomicron,Lab,SMC7758,Suppl_supe
S_SMC7758_2,B.thetaiotaomicron,Lab,SMC7758,Suppl_supe
S_SMC7758_3,B.thetaiotaomicron,Lab,SMC7758,Suppl_supe
S_SMC7758_4,B.thetaiotaomicron,Lab,SMC7758,Suppl_supe
S_SMC7758_5,B.thetaiotaomicron,Lab,SMC7758,Suppl_supe
S_TL139C3B_1,B.fragilis,CF,TL139C3B,Suppl_supe
S_TL139C3B_2,B.fragilis,CF,TL139C3B,Suppl_supe
S_TL139C3B_3,B.fragilis,CF,TL139C3B,Suppl_supe
S_TL139C3B_4,B.fragilis,CF,TL139C3B,Suppl_supe
S_TL139C3B_5,B.fragilis,CF,TL139C3B,Suppl_supe
S_VPI_1,B.thetaiotaomicron,Lab,VPI,Suppl_supe
S_VPI_2,B.thetaiotaomicron,Lab,VPI,Suppl_supe
S_VPI_3,B.thetaiotaomicron,Lab,VPI,Suppl_supe
S_VPI_4,B.thetaiotaomicron,Lab,VPI,Suppl_supe
S_VPI_5,B.thetaiotaomicron,Lab,VPI,Suppl_supe
