Strain,Species,Source,Group
PLT_21B_1,B.vulgatus,NonCF,PLT_21B
PLT_21B_2,B.vulgatus,NonCF,PLT_21B
PLT_21B_3,B.vulgatus,NonCF,PLT_21B
PLT_21B_4,B.vulgatus,NonCF,PLT_21B
PLT_21B_5,B.vulgatus,NonCF,PLT_21B
PLT_32B_1,B.vulgatus,NonCF,PLT_32B
PLT_32B_2,B.vulgatus,NonCF,PLT_32B
PLT_32B_3,B.vulgatus,NonCF,PLT_32B
PLT_32B_4,B.vulgatus,NonCF,PLT_32B
PLT_32B_5,B.vulgatus,NonCF,PLT_32B
PLT_41B_1,B.fragilis,NonCF,PLT_41B
PLT_41B_2,B.fragilis,NonCF,PLT_41B
PLT_41B_3,B.fragilis,NonCF,PLT_41B
PLT_41B_4,B.fragilis,NonCF,PLT_41B
PLT_41B_5,B.fragilis,NonCF,PLT_41B
AD126T3B_1,B.fragilis,CF,AD126T3B
AD126T3B_2,B.fragilis,CF,AD126T3B
AD126T3B_3,B.fragilis,CF,AD126T3B
AD126T3B_4,B.fragilis,CF,AD126T3B
AD126T3B_5,B.fragilis,CF,AD126T3B
HAP2B_1,B.fragilis,CF,HAP2B
HAP2B_2,B.fragilis,CF,HAP2B
HAP2B_3,B.fragilis,CF,HAP2B
HAP2B_4,B.fragilis,CF,HAP2B
HAP2B_5,B.fragilis,CF,HAP2B
MEM_1,None,Control,MEM
MEM_2,None,Control,MEM
MEM_3,None,Control,MEM
MEM_4,None,Control,MEM
MEM_5,None,Control,MEM
RH127O_1,B.fragilis,CF,RH127O
RH127O_2,B.fragilis,CF,RH127O
RH127O_3,B.fragilis,CF,RH127O
RH127O_4,B.fragilis,CF,RH127O
RH127O_5,B.fragilis,CF,RH127O
SMC7758_1,B.thetaiotaomicron,Lab,SMC7758
SMC7758_2,B.thetaiotaomicron,Lab,SMC7758
SMC7758_3,B.thetaiotaomicron,Lab,SMC7758
SMC7758_4,B.thetaiotaomicron,Lab,SMC7758
SMC7758_5,B.thetaiotaomicron,Lab,SMC7758
TL139C3B_1,B.fragilis,CF,TL139C3B
TL139C3B_2,B.fragilis,CF,TL139C3B
TL139C3B_3,B.fragilis,CF,TL139C3B
TL139C3B_4,B.fragilis,CF,TL139C3B
TL139C3B_5,B.fragilis,CF,TL139C3B
VPI_1,B.thetaiotaomicron,Lab,VPI
VPI_2,B.thetaiotaomicron,Lab,VPI
VPI_3,B.thetaiotaomicron,Lab,VPI
VPI_4,B.thetaiotaomicron,Lab,VPI
VPI_5,B.thetaiotaomicron,Lab,VPI
